t_start,t_end,n_ids_present,mean_distance,cluster_count,triad_count_total,triad_count_sig,triad_S_sum,triad_S_mean,triad_S_sig_sum,TriadState,FragState
94800.0,96600.0,8,5084.1321261942,2,0,0,,,,0,0
95400.0,97200.0,8,5089.856573493579,2,0,0,,,,0,0
96000.0,97800.0,8,5102.011627217528,2,0,0,,,,0,0
96600.0,98400.0,8,5128.381661378898,2,0,0,,,,0,0
97200.0,99000.0,8,5141.160223114876,2,0,0,,,,0,0
97800.0,99600.0,8,5149.992173466031,2,0,0,,,,0,0
98400.0,100200.0,8,5146.508814185998,2,0,0,,,,0,0
99000.0,100800.0,8,5146.15991827196,2,0,0,,,,0,0
99600.0,101400.0,8,5140.2426816329,2,0,0,,,,0,0
100200.0,102000.0,8,5140.022022114999,2,0,0,,,,0,0
100800.0,102600.0,8,5136.090024271127,2,0,0,,,,0,0
101400.0,103200.0,8,5126.105895771826,2,0,0,,,,0,0
102000.0,103800.0,8,5099.766898204402,2,0,0,,,,0,0
102600.0,104400.0,8,5077.559835586762,2,0,0,,,,0,0
103200.0,105000.0,8,5057.918050139704,2,0,0,,,,0,0
103800.0,105600.0,8,5048.601680194841,2,0,0,,,,0,0
104400.0,106200.0,8,5039.202803969017,2,0,0,,,,0,0
105000.0,106800.0,8,5034.3905587360105,2,0,0,,,,0,0
105600.0,107400.0,8,5033.456427169177,2,0,0,,,,0,0
106200.0,108000.0,8,5047.740325718111,2,0,0,,,,0,0
106800.0,108600.0,8,5117.406331918043,2,0,0,,,,0,0
107400.0,109200.0,8,5196.274394542421,2,0,0,,,,0,0
108000.0,109800.0,8,5267.69804033354,2,0,0,,,,0,0
108600.0,110400.0,8,5291.842019103222,2,0,0,,,,0,0
109200.0,111000.0,8,5321.097801491894,2,0,0,,,,0,0
109800.0,111600.0,8,5347.367034624512,2,0,0,,,,0,0
110400.0,112200.0,8,5358.983191061185,2,0,0,,,,0,0
111000.0,112800.0,8,5298.46948425569,2,0,0,,,,0,0
111600.0,113400.0,8,5244.312133209768,2,0,0,,,,0,0
112200.0,114000.0,8,5206.188815091468,2,0,0,,,,0,0
112800.0,114600.0,8,5190.146585031225,2,0,0,,,,0,0
113400.0,115200.0,8,5112.996753567361,2,0,0,,,,0,0
114000.0,115800.0,8,5012.218036482477,2,0,0,,,,0,0
114600.0,116400.0,8,4938.164008225451,2,0,0,,,,0,0
115200.0,117000.0,8,4845.136909666899,2,0,0,,,,0,0
115800.0,117600.0,8,4771.176761825033,2,0,0,,,,0,0
116400.0,118200.0,8,4767.444652529586,2,0,0,,,,0,0
117000.0,118800.0,8,4935.087425566666,2,0,0,,,,0,0
117600.0,119400.0,8,5128.046498301557,2,0,0,,,,0,0
118200.0,120000.0,8,5281.778468266123,2,0,0,,,,0,0
118800.0,120600.0,8,5378.8462907477015,2,0,0,,,,0,0
119400.0,121200.0,8,5471.324021761421,2,0,0,,,,0,0
120000.0,121800.0,8,5602.158750760793,2,0,0,,,,0,0
120600.0,122400.0,8,5619.501889937441,2,0,0,,,,0,0
121200.0,123000.0,8,5620.608255947644,2,0,0,,,,0,0
121800.0,123600.0,8,5625.147718926949,2,0,0,,,,0,0
122400.0,124200.0,8,5636.099259607647,2,0,0,,,,0,0
123000.0,124800.0,8,5648.878247119171,2,0,0,,,,0,0
123600.0,125400.0,8,5651.533360573432,2,0,0,,,,0,0
124200.0,126000.0,8,5675.682081607656,2,0,0,,,,0,0
124800.0,126600.0,8,5703.055711052856,2,0,0,,,,0,0
125400.0,127200.0,8,5703.050631980427,2,0,0,,,,0,0
126000.0,127800.0,8,5678.310607188337,2,0,0,,,,0,0
126600.0,128400.0,8,5641.761035108554,2,0,0,,,,0,0
127200.0,129000.0,8,5623.765764568682,2,0,0,,,,0,0
127800.0,129600.0,8,5560.246967643371,2,0,0,,,,0,0
128400.0,130200.0,8,5548.7434906169565,2,0,0,,,,0,0
129000.0,130800.0,8,5581.945643945571,2,0,0,,,,0,0
129600.0,131400.0,8,5603.476621690364,2,0,0,,,,0,0
130200.0,132000.0,8,5561.28055061616,2,0,0,,,,0,0
130800.0,132600.0,8,5525.681040771829,2,0,0,,,,0,0
131400.0,133200.0,8,5503.60098483989,2,0,0,,,,0,0
132000.0,133800.0,8,5500.736806834732,2,0,0,,,,0,0
132600.0,134400.0,8,5503.862534377828,2,0,0,,,,0,0
133200.0,135000.0,8,5558.664393179609,2,0,0,,,,0,0
133800.0,135600.0,8,5632.398704076805,2,0,0,,,,0,0
134400.0,136200.0,8,5689.824625696344,2,0,0,,,,0,0
135000.0,136800.0,8,5718.613396137016,2,0,0,,,,0,0
135600.0,137400.0,8,5716.890462005847,2,0,0,,,,0,0
136200.0,138000.0,8,5722.203274223363,2,0,0,,,,0,0
136800.0,138600.0,8,5760.258845749512,2,0,0,,,,0,0
137400.0,139200.0,8,5810.153744225015,2,0,0,,,,0,0
138000.0,139800.0,8,5834.1618621862335,2,0,0,,,,0,0
138600.0,140400.0,8,5824.399072161368,2,0,0,,,,0,0
139200.0,141000.0,8,5818.686467021269,2,0,0,,,,0,0
139800.0,141600.0,8,5865.258881185953,2,0,0,,,,0,0
140400.0,142200.0,8,5878.894673450125,2,0,0,,,,0,0
141000.0,142800.0,8,5861.686430819316,2,0,0,,,,0,0
141600.0,143400.0,8,5674.88847144061,2,0,0,,,,0,0
142200.0,144000.0,8,5277.291491662827,2,0,0,,,,0,0
142800.0,144600.0,8,4924.638684645464,2,0,0,,,,0,0
143400.0,145200.0,8,4788.434882218688,2,0,0,,,,0,0
144000.0,145800.0,8,4854.036652387377,2,0,0,,,,0,0
144600.0,146400.0,8,4925.190242807826,2,0,0,,,,0,0
145200.0,147000.0,8,4959.241345635555,2,0,0,,,,0,0
145800.0,147600.0,8,4959.53283930513,2,0,0,,,,0,0
146400.0,148200.0,8,4959.611346276442,2,0,0,,,,0,0
147000.0,148800.0,8,4960.5292673990625,2,0,0,,,,0,0
147600.0,149400.0,8,4959.897433364772,2,0,0,,,,0,0
148200.0,150000.0,8,4961.463819776368,2,0,0,,,,0,0
148800.0,150600.0,8,4961.560433442271,2,0,0,,,,0,0
149400.0,151200.0,8,4949.573710004349,2,0,0,,,,0,0
150000.0,151800.0,8,4921.494217107946,2,0,0,,,,0,0
150600.0,152400.0,8,4893.118551013444,2,0,0,,,,0,0
151200.0,153000.0,8,4875.5526194904105,2,0,0,,,,0,0
151800.0,153600.0,8,4869.4031052896535,2,0,0,,,,0,0
152400.0,154200.0,8,4865.526234353509,2,0,0,,,,0,0
153000.0,154800.0,8,4863.388165215505,2,0,0,,,,0,0
153600.0,155400.0,8,4862.815500231796,2,0,0,,,,0,0
154200.0,156000.0,8,4862.508789087782,2,0,0,,,,0,0
154800.0,156600.0,8,4862.35654814522,2,0,0,,,,0,0
155400.0,157200.0,8,4862.239053212109,2,0,0,,,,0,0
156000.0,157800.0,8,4862.12290242439,2,0,0,,,,0,0
156600.0,158400.0,8,4862.0081232267175,2,0,0,,,,0,0
157200.0,159000.0,8,4861.89474489989,2,0,0,,,,0,0
157800.0,159600.0,8,4861.782798737374,2,0,0,,,,0,0
158400.0,160200.0,8,4861.672318249863,2,0,0,,,,0,0
159000.0,160800.0,8,4861.563339404812,2,0,0,,,,0,0
159600.0,161400.0,8,4861.4559009109535,2,0,0,,,,0,0
160200.0,162000.0,8,4861.350044559859,2,0,0,,,,0,0
160800.0,162600.0,8,4861.24581564255,2,0,0,,,,0,0
161400.0,163200.0,8,4861.143263465877,2,0,0,,,,0,0
162000.0,163800.0,8,4861.042442003653,2,0,0,,,,0,0
162600.0,164400.0,8,4860.943410735909,2,0,0,,,,0,0
163200.0,165000.0,8,4860.846235757845,2,0,0,,,,0,0
163800.0,165600.0,8,4860.750991296033,2,0,0,,,,0,0
164400.0,166200.0,8,4860.657761878069,2,0,0,,,,0,0
165000.0,166800.0,8,4860.566645656388,2,0,0,,,,0,0
165600.0,167400.0,8,4860.477760061415,2,0,0,,,,0,0
166200.0,168000.0,8,4860.3912531148735,2,0,0,,,,0,0
166800.0,168600.0,8,4860.307332462367,2,0,0,,,,0,0
167400.0,169200.0,8,4860.226373769529,2,0,0,,,,0,0
168000.0,169800.0,8,4860.149672194687,2,0,0,,,,0,0
168600.0,170400.0,8,4860.090044211886,2,0,0,,,,0,0
169200.0,171000.0,8,4860.061412016103,2,0,0,,,,0,0
169800.0,171600.0,8,4860.04097924812,2,0,0,,,,0,0
170400.0,172200.0,8,4860.025543473738,2,0,0,,,,0,0
171000.0,172800.0,8,4860.015353782207,2,0,0,,,,0,0
171600.0,173400.0,8,4859.597453446958,2,0,0,,,,0,0
172200.0,174000.0,8,4859.25101086051,2,0,0,,,,0,0
172800.0,174600.0,8,4858.688443971577,2,0,0,,,,0,0
173400.0,175200.0,8,4859.161703498014,2,0,0,,,,0,0
174000.0,175800.0,8,4859.525416978211,2,0,0,,,,0,0
174600.0,176400.0,8,4860.687139640661,2,0,0,,,,0,0
175200.0,177000.0,8,4860.351078514982,2,0,0,,,,0,0
175800.0,177600.0,8,4860.117046628905,2,0,0,,,,0,0
176400.0,178200.0,8,4859.042824223572,2,0,0,,,,0,0
177000.0,178800.0,8,4859.338748947351,2,0,0,,,,0,0
177600.0,179400.0,8,4843.68929700207,2,0,0,,,,0,0
178200.0,180000.0,8,4881.6949876125955,2,0,0,,,,0,0
178800.0,180600.0,8,5048.377709265004,2,0,0,,,,0,0
179400.0,181200.0,8,5338.838397773476,2,0,0,,,,0,0
